2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09
1318236100419256322,1333508846434754560,1340553862462255104,1346607767352705025,1356467094955548672,1376181746660687874,1383539924595396613,1392913934278004736,1408270792731860995,1415725093133635585,1431730068267671552,1441667186485915653
1321232381018140673,1323588835939360768,1339274807007801344,1346619246483099648,1365746098711760899,1367680813639294981,1387861326844792838,1389670525455065092,1408376493613457411,1417536115888766979,1422246946622869510,1434321916605644800
1318332864115707905,1331475135505838082,1341191675096539138,1346243524690386945,1359848557361180676,1374004884467560448,1378635561976610818,1398894687872851969,1408231062782857218,1419445129547599873,1423393329513996294,1441208877668786177
1321556230435827713,1325524505247150080,1337231545199804418,1346796789886840833,1359558869647769606,1372849399546675204,1388049363046391809,1393388594367131652,1399887074640240643,1410795881826189315,1432920456852541440,1436484964309245953
1318639882915450885,1325239840808587264,1339594556602339337,1352460469005643778,1357558730716565505,1376619247279935497,1382289946703200261,1398721146556661760,1409372439092465668,1418652336034099204,1425148975141855235,1437550321631481856
1318266964876222464,1333293182596116481,1335412935783485442,1348995315479826436,1358546023740706820,1367555723966767106,1380516994215206913,1390359220835475456,1407501619252527107,1416117680923234306,1421882470295908362,1437367708690042882
1319793401215287298,1326939467886825483,1334565574018527233,1354092605072576512,1364470697381224451,1373848091762307079,1388262012292055040,1393999302763110400,1406969210228686854,1418988864870379521,1425173019559751686,1438627988548038656
1318590813161607172,1325480967977439232,1334794110989905920,1346802966095917058,1358053309639188480,1377263949377376262,1387092722817851393,1394156991052845059,1406589677029765121,1421562198921523206,1422194710790164489,1440322310397853710
1322595027156164614,1325908096334536704,1336115505464299525,1353162972139556872,1361096395348987909,1371640384057671681,1387155409790722048,1395386580584615942,1407012439749763072,1416195317406515207,1423575321568219139,1433217458823962625
1319903091316183041,1324222222160965632,1343626734881677319,1346063431028396032,1364461876868878336,1373040488698249216,1386741852456554502,1396946498336837637,1405432665809903618,1417183160979259392,1432825894658142210,1441523316896919553
